DateFiled,TallyDate,City,State,RTW,MedianIncome,MinWage,InequalityIndex,UnionMembership,White,Black,Indigenous,Asian,PacificIslander,Other,Mixed,Latino,DemVotes,MarginShift,Immigrant,Address,Status,Case Name,Labor Union,Ballot Type,IsInitial,IsRevised,VotesFor,VotesAgainst,PercentVoters,NumEligibleVoters,success,Case
6/21/2022,9/26/2022,Louisville,KY,1,"54,929.00",7,0.4764,7.9,0.8133,0.0794,0.0018,0.0164,0.0008,0.0033,0.0389,0.0461,0.36,0.02,3.8,"3401 Bardstown Road, Louisville, Kentucky",Unionized,STARBUCKS CORPORATION,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",Revised,0,1,10,7,0.53125,32,1,09-RC-297936
6/21/2022,9/8/2022,Roseville,MN,0,"74,571.00",10,0.4434,14.2,0.763,0.0688,0.01,0.0521,0.0005,0.0037,0.0414,0.0606,0.52,0.02,8.6,"2305 Fairview Avenue North, Roseville, Minnesota",Unionized,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, Workers United, affiliated with SEIU",Revised,0,1,7,5,0.4285714286,28,1,18-RC-297917
6/21/2022,8/25/2022,Springfield,MO,0,"37,491.00",11,0.4633,9.6,0.7578,0.1126,0.0038,0.0215,0.0015,0.0036,0.05,0.0492,0.41,0.02,4.2,"631 Glenstone Avenue, Springfield, MO",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,11,5,0.5714285714,28,1,14-RC-297893
6/21/2022,8/31/2022,St. Charles,MO,0,"71,232.00",11,0.4633,9.6,0.7578,0.1126,0.0038,0.0215,0.0015,0.0036,0.05,0.0492,0.41,0.02,4.2,"1030 South 5th Street, Saint Charles, MO",Voted Failed,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",Initial,1,0,4,11,0.4411764706,34,0,14-RC-297892
6/22/2022,8/25/2022,East Greenbush,NY,0,"99,009.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"600 Columbia Turnpike, East Greenbush, New York",Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Initial,1,0,8,4,0.4444444444,27,1,03-RC-297980
6/22/2022,9/12/2022,New Braunfels,TX,1,"71,274.00",7,0.4753,4.1,0.3975,0.1182,0.0029,0.0536,0.001,0.0039,0.0304,0.3926,0.47,0.02,17.2,"697 Walnut Avenue, New Braunfels, Texas",Unionized,STARBUCKS CORPORATION,WORKERS UNITED,Initial,1,0,10,4,0.7368421053,19,1,16-RC-298055
6/22/2022,8/5/2022,Niskayuna,NY,0,"117,415.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"2303 Nott Street East in Niskayuna, New York",Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Initial,1,0,15,1,0.7619047619,21,1,03-RC-297987
6/27/2022,8/31/2022,Reading,MA,0,"145,552.00",14,0.4803,12.7,0.6755,0.065,0.0013,0.0718,0.0002,0.0131,0.0467,0.1263,0.66,0.02,17.4,"288 Main Street, Reading, MA",Voted Failed,Starbucks Corporation,Workers United,Revised,0,1,7,9,0.7272727273,22,0,01-RC-298347
6/27/2022,9/7/2022,Staten Island,NY,0,"85,381.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"480 Forest Avenue, Staten Island, New York",Unionized,Starbucks Corporation,Workers United,Initial,1,0,15,0,0.652173913,23,1,29-RC-298233
6/27/2022,9/7/2022,Wantagh,NY,0,"154,493.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"1143 Wantagh Avenue, Wantagh, New York",Unionized,Starbucks Corporation,"Workers United, an SEIU affiliate",Initial,1,0,20,7,0.6279069767,43,1,29-RC-298246
